,company,rating,location,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
213,Tableau Software,3.8,4,1,1,0,1,3.2
214,ITC Infotech,3.9,2,1,0.001,0,1,2.8
215,Medallia,3.9,4,1,0.5,1,1,3.2
216,Rubrik,3.9,4,1,0.001,0,0,3.1
217,Xilinx,3.8,4,1,5,0,1,3
218,Mozilla,3.9,4,1,0.5,0,1,2.9
219,Vertex (Pennsylvania),3.8,2,1,0.5,0,1,2.8
221,itelligence,3.8,1,1,2,0,0,2.8
222,Anaplan,3.9,2,1,0.5,0,1,2.9
223,Cornerstone OnDemand,3.8,2,1,1,1,1,3
224,Deltek,3.8,3,1,0.5,0,1,2.9
225,Logitech,3.8,4,1,5,0,1,2.6
226,DealerSocket,3.9,4,1,0.5,0,1,2.7
227,Manhattan Associates,3.8,3,1,1,0,1,3.1
228,Trulia,3.8,5,1,0.5,1,1,2.6
229,Worldwide TechServices,3.8,4,1,0.5,0,0,1.9
231,L&T Technology Services,3.8,1,1,1,0,1,2.9
232,j2 Global,3.7,4,1,2,0,0,2.4
233,Trimble,3.8,4,1,5,0,1,2.8
234,Progress,3.8,2,1,0.5,0,1,2.8
235,CallidusCloud,3.8,5,1,0.5,0,1,2.8
236,Prolifics,3.8,2,1,0.5,0,1,3.2
237,Tata Communications,3.8,3,1,10,0,0,2.9
238,Aruba Networks,3.8,4,1,5,0,1,2.9
239,Aspire Systems,3.8,5,1,0.1,0,1,3
240,OCLC,3.8,1,1,0.5,0,1,3.3
241,Samsara,3.8,3,1,0.001,1,1,2.6
242,Tyler Technologies,3.8,2,1,0.5,0,1,2.8
243,SAS Institute,3.8,3,1,5,1,1,2.9
245,Cloudflare,3.9,4,2,0.001,0,0,3
246,Datadog,3.9,2,1,0.5,0,1,2.9
247,Tavant,3.8,3,1,0.5,0,1,3
248,Mindtree,3.8,2,1,1,1,1,2.8
249,Flexera,3.8,4,1,0.5,0,1,2.9
250,NICE,3.9,2,1,2,0,1,2.9
251,AgreeYa Solutions,3.8,4,1,0.1,0,1,2.8
252,Zuora,3.8,4,1,0.5,1,1,2.9
253,Pegasystems,3.8,2,1,1,0,1,3
254,Airbnb,3.8,4,1,0.001,1,1,3.1
255,Secureworks,3.7,3,1,0.5,0,1,2.8
256,Amadeus,4.4,3,1,5,0,1,2.8
257,Mailchimp,3.7,3,1,1,0,1,2.8
258,Entrata,3.8,4,1,0.001,0,1,2.5
259,Bottomline Technologies,3.8,2,1,0.5,0,1,2.9
261,Arista Networks,3.8,4,1,2,1,1,3
262,Samsung Research America,3.7,4,1,0.1,0,0,2.8
263,Iris Software,3.8,2,1,0.5,0,0,3
264,LogMeIn,3.7,5,1,2,0,1,2.8
265,Ellucian,3.7,2,1,1,0,1,2.6
266,Relativity,3.8,5,1,0.001,0,1,2.9
267,Tata Consultancy Services (North America),3.7,2,1,10,0,1,2.6
269,Match,3.7,3,1,0.001,0,0,3.2
270,CSG,3.8,4,1,1,0,1,2.8
271,F5 Networks,3.8,4,1,2,1,1,3
272,Zebra Technologies,3.7,2,1,5,0,0,2.8
273,Neustar,3.7,4,1,1,0,1,3
274,Dealer.com,3.6,2,1,1,0,1,2.7
276,ASG Technologies,3.7,2,1,0.001,0,1,2.8
277,Qlik,3.6,2,1,1,0,1,3
278,Workiva,3.7,1,1,0.5,0,1,2.9
279,SonicWall,3.8,4,1,1,0,0,2.9
280,Ivanti,3.9,4,1,0.5,0,1,2.9
281,PTC,3.7,2,1,2,0,1,2.8
284,IDC Technologies,3.7,4,1,0.5,0,1,2.5
287,CCC Information Services,3.7,1,1,1,0,1,2.7
288,GlobalLogic,3.7,1,1,1,0,1,2.8
290,Blackbaud,3.7,3,1,1,0,1,2.8
291,IAC,3.7,2,1,5,0,1,2.9
292,Alion,3.7,3,1,2,0,1,2.5
293,Tripadvisor,3.7,2,1,2,0,1,3
294,ECS,3.7,3,1,1,0,1,2
296,Cybage Software,3.7,2,1,0.001,0,1,2.9
297,CitiusTech,3.7,1,1,0.5,0,1,3
298,Carbon Black,3.7,2,1,0.5,0,1,3
